"Year","ConditionID","Validity","SelectionRatio","Turnover","FirePerc","Reliability","Mean","SD"
1,9,0.3,0.1,0.1,0.05,0.5,-0.003626449980294,0.107000387175949
2,9,0.3,0.1,0.1,0.05,0.5,0.00387419601132126,0.106183738803444
3,9,0.3,0.1,0.1,0.05,0.5,-0.00205550263866001,0.101188009746188
4,9,0.3,0.1,0.1,0.05,0.5,0.00328737120300385,0.102582227324963
5,9,0.3,0.1,0.1,0.05,0.5,0.00174440018153578,0.10070338746485
6,9,0.3,0.1,0.1,0.05,0.5,0.00146654105856485,0.105550659647647
7,9,0.3,0.1,0.1,0.05,0.5,0.00609170881981699,0.103501885087063
8,9,0.3,0.1,0.1,0.05,0.5,0.00608001013950424,0.100120682425317
9,9,0.3,0.1,0.1,0.05,0.5,-0.00624218785807264,0.102025822837534
10,9,0.3,0.1,0.1,0.05,0.5,-0.00842477006268014,0.105894291440143
11,9,0.3,0.1,0.1,0.05,0.5,-0.00054566976560409,0.106919849195975
12,9,0.3,0.1,0.1,0.05,0.5,0.000356127499482745,0.1003647054702
13,9,0.3,0.1,0.1,0.05,0.5,0.00917480488388248,0.0977901149364733
14,9,0.3,0.1,0.1,0.05,0.5,0.000835594368216247,0.0982945380853709
15,9,0.3,0.1,0.1,0.05,0.5,-0.00175701692321141,0.101640246839725
16,9,0.3,0.1,0.1,0.05,0.5,-0.000968481340637001,0.104894337294559
17,9,0.3,0.1,0.1,0.05,0.5,-0.00284721385331178,0.105754427565153
18,9,0.3,0.1,0.1,0.05,0.5,0.00267364876765745,0.109064160488978
19,9,0.3,0.1,0.1,0.05,0.5,0.00185221545240212,0.11473527724234
20,9,0.3,0.1,0.1,0.05,0.5,0.00241676530685564,0.119379018642379
21,9,0.3,0.1,0.1,0.05,0.5,-0.00491855792843842,0.110217314497882
22,9,0.3,0.1,0.1,0.05,0.5,-0.00619956235057017,0.111614816525499
23,9,0.3,0.1,0.1,0.05,0.5,-0.00796056282120248,0.110721914377989
24,9,0.3,0.1,0.1,0.05,0.5,-0.00337483175044895,0.104106588174166
25,9,0.3,0.1,0.1,0.05,0.5,-0.000559813174453034,0.0914473404150176
26,9,0.3,0.1,0.1,0.05,0.5,-0.000654761190159127,0.0956625403654563
27,9,0.3,0.1,0.1,0.05,0.5,-0.00128455051181839,0.096510692939656
28,9,0.3,0.1,0.1,0.05,0.5,0.00101135098564138,0.100253639070258
29,9,0.3,0.1,0.1,0.05,0.5,-0.00124532110614056,0.0990813961734584
30,9,0.3,0.1,0.1,0.05,0.5,0.00122986718902873,0.100472334113343
1,10,0.3,0.1,0.1,0.05,0.7,-0.00114973120458671,0.0990882995148013
2,10,0.3,0.1,0.1,0.05,0.7,-0.00491962201340963,0.101219624564748
3,10,0.3,0.1,0.1,0.05,0.7,-0.000437201336361336,0.0948359893951415
4,10,0.3,0.1,0.1,0.05,0.7,-0.00191106405847877,0.101338587206165
5,10,0.3,0.1,0.1,0.05,0.7,0.00450263705013771,0.102344963282486
6,10,0.3,0.1,0.1,0.05,0.7,0.00791043952506235,0.102630830212243
7,10,0.3,0.1,0.1,0.05,0.7,0.00479789630504666,0.105204823355292
8,10,0.3,0.1,0.1,0.05,0.7,0.00675559042511295,0.104883129980783
9,10,0.3,0.1,0.1,0.05,0.7,0.00200900676525985,0.0970366230966115
10,10,0.3,0.1,0.1,0.05,0.7,0.00536509780939509,0.100112942549859
11,10,0.3,0.1,0.1,0.05,0.7,0.0128666729355793,0.0972866841451892
12,10,0.3,0.1,0.1,0.05,0.7,0.0116832594095313,0.0956840205642785
13,10,0.3,0.1,0.1,0.05,0.7,0.0178185728932679,0.0899138044362575
14,10,0.3,0.1,0.1,0.05,0.7,0.0214977244146114,0.0896674194171163
15,10,0.3,0.1,0.1,0.05,0.7,0.0274191656988894,0.0968970018763919
16,10,0.3,0.1,0.1,0.05,0.7,0.0278535404413787,0.0981998339071432
